transfer_id,client_id,asset_type,asset_name,ticker,quantity_requested,quantity_received,requested_value,settled_value,origin_custodian,destination_custodian,transfer_type,transfer_direction,request_date,expected_settlement_date,actual_settlement_date,current_stage,status,priority,responsible_team,documentation_complete,exception_flag,exception_type,lifecycle_status,sla_days,elapsed_days,sla_status,reconciliation_status,operational_risk,quantity_difference,quantity_reconciliation,value_difference,value_reconciliation,reconciliation_result,reconciliation_severity,risk_score,risk_drivers,final_risk_level
AT00014,CL24322,ETFs,SPDR S&P 500 ETF,SPY,1568,1568,540892.83,540892.83,BNY Mellon,Itaú Custódia,Internal,Outbound,2026-08-30,2026-09-01,,Validation,In Progress,High,Transfers,True,False,,Pending Approval,2,20,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,45,SLA Breach | High Priority,High
AT00015,CL16630,Equities,Apple Inc.,AAPL,1946,1946,242938.64,242938.64,Northern Trust,Itaú Custódia,Internal,Outbound,2026-08-04,2026-08-06,2026-08-07,Completed,Completed,Medium,Reconciliation,True,False,,Completed,2,46,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00016,CL65444,Funds,Global Equity Fund,GEF,1605,1605,117818.89,117818.89,J.P. Morgan,BNY Mellon,External,Inbound,2026-08-04,2026-08-09,2026-08-09,Completed,Exception,Medium,Transfers,False,True,Missing Documentation,Exception,5,46,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,55,SLA Breach | Missing Documentation,High
AT00017,CL34356,Equities,Alphabet Inc.,GOOGL,566,566,200276.64,200276.64,BNY Mellon,Itaú Custódia,Internal,Inbound,2026-09-07,2026-09-12,2026-09-12,Completed,Completed,High,Reconciliation,True,False,,Completed,2,12,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00018,CL44179,ETFs,iShares MSCI Brazil ETF,EWZ,2583,2583,468239.2,468239.2,Northern Trust,BNY Mellon,External,Outbound,2026-08-21,2026-08-22,2026-08-22,Completed,Exception,High,Reconciliation,False,True,Missing Documentation,Exception,5,29,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Missing Documentation | High Priority,Critical
AT00019,CL27361,Bonds,US Treasury 10Y,UST10Y,460,460,436474.17,436474.17,State Street,BNY Mellon,External,Outbound,2026-09-09,2026-09-14,2026-09-14,Completed,Completed,Low,Settlement,True,False,,Completed,5,10,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00020,CL44664,Equities,Apple Inc.,AAPL,4542,4542,544819.98,544819.98,State Street,BNY Mellon,External,Inbound,2026-09-13,2026-09-16,2026-09-16,Completed,Completed,Low,Transfers,True,False,,Completed,5,6,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00021,CL93136,Funds,Global Fixed Income Fund,GIF,411,411,8482.31,8482.31,BNY Mellon,Northern Trust,Internal,Outbound,2026-09-05,2026-09-09,2026-09-09,Completed,Exception,Medium,Settlement,False,True,Missing Documentation,Exception,2,14,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,55,SLA Breach | Missing Documentation,High
AT00022,CL81511,Equities,Amazon.com Inc.,AMZN,4781,4781,1427780.12,1427780.12,Northern Trust,BNY Mellon,Internal,Outbound,2026-08-24,2026-08-25,,Approval,In Progress,High,Transfers,True,False,,Pending Approval,2,26,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,45,SLA Breach | High Priority,High
AT00023,CL56357,Funds,Emerging Markets Fund,EMF,1316,1316,245614.93,245614.93,BNY Mellon,State Street,Internal,Outbound,2026-08-02,2026-08-04,,Registered,In Progress,Medium,Settlement,True,False,,In Transit,2,48,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00024,CL44970,ETFs,iShares MSCI Brazil ETF,EWZ,895,895,233056.16,233056.16,J.P. Morgan,Itaú Custódia,Internal,Inbound,2026-08-30,2026-09-02,2026-09-02,Completed,Completed,High,Settlement,True,False,,Completed,2,20,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00025,CL62227,Bonds,US Treasury 5Y,UST5Y,452,452,413075.64,413075.64,State Street,Northern Trust,External,Outbound,2026-08-02,2026-08-03,,Registered,In Progress,Medium,Transfers,True,False,,In Transit,5,48,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00026,CL24208,Funds,Global Fixed Income Fund,GIF,2619,2619,258104.8,258104.8,Itaú Custódia,J.P. Morgan,External,Inbound,2026-08-17,2026-08-18,,Validation,In Progress,High,Settlement,True,False,,Pending Approval,5,33,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,45,SLA Breach | High Priority,High
AT00027,CL57739,Funds,Global Equity Fund,GEF,2754,2754,363990.6,363990.6,J.P. Morgan,Northern Trust,External,Outbound,2026-08-21,2026-08-25,2026-08-25,Completed,Completed,High,Custody Operations,True,False,,Completed,5,29,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00028,CL98777,ETFs,iShares MSCI Brazil ETF,EWZ,4672,4672,1006920.8,1006920.8,Itaú Custódia,J.P. Morgan,External,Outbound,2026-08-14,2026-08-18,,In Transit,In Progress,Medium,Custody Operations,True,False,,In Transit,5,36,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00029,CL67954,ETFs,iShares MSCI Brazil ETF,EWZ,3886,3886,1890750.67,1890750.67,BNY Mellon,J.P. Morgan,External,Outbound,2026-08-06,2026-08-08,2026-08-08,Completed,Completed,Low,Transfers,True,False,,Completed,5,44,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00030,CL16057,ETFs,Invesco QQQ,QQQ,606,606,182090.21,182090.21,Itaú Custódia,BNY Mellon,External,Outbound,2026-08-26,2026-08-28,2026-08-28,Completed,Completed,Low,Custody Operations,True,False,,Completed,5,24,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00031,CL38683,ETFs,iShares MSCI Brazil ETF,EWZ,4253,4253,1299301.86,1299301.86,Itaú Custódia,BNY Mellon,Internal,Outbound,2026-08-09,2026-08-13,2026-08-13,Completed,Completed,Medium,Custody Operations,True,False,,Completed,2,41,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00032,CL81810,Funds,Global Equity Fund,GEF,3938,3938,397787.45,397787.45,BNY Mellon,Northern Trust,External,Inbound,2026-08-18,2026-08-22,2026-08-22,Completed,Completed,Medium,Reconciliation,True,False,,Completed,5,32,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00033,CL80798,Equities,Microsoft Corp.,MSFT,1245,1245,191814.24,191814.24,BNY Mellon,State Street,Internal,Outbound,2026-08-27,2026-08-30,2026-08-31,Completed,Exception,High,Custody Operations,False,True,Missing Documentation,Exception,2,23,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Missing Documentation | High Priority,Critical
AT00034,CL86556,Equities,Alphabet Inc.,GOOGL,3126,3126,827267.39,827267.39,State Street,Northern Trust,External,Outbound,2026-09-04,2026-09-09,,Approval,In Progress,Medium,Custody Operations,True,False,,Pending Approval,5,15,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00035,CL73654,Equities,NVIDIA Corp.,NVDA,2763,2763,969794.02,969794.02,Northern Trust,BNY Mellon,External,Inbound,2026-09-09,2026-09-14,2026-09-15,Completed,Completed,High,Transfers,True,False,,Completed,5,10,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00036,CL21003,Funds,Global Equity Fund,GEF,3832,3832,201989.41,201989.41,State Street,Itaú Custódia,External,Inbound,2026-08-30,2026-09-02,2026-09-03,Completed,Completed,Medium,Reconciliation,True,False,,Completed,5,20,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00037,CL20735,Funds,Global Equity Fund,GEF,4468,4468,131249.33,131249.33,State Street,BNY Mellon,Internal,Inbound,2026-08-02,2026-08-04,2026-08-04,Completed,Completed,Low,Settlement,True,False,,Completed,2,48,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00038,CL72070,Equities,Alphabet Inc.,GOOGL,1795,1795,465381.2,465381.2,State Street,Northern Trust,Internal,Inbound,2026-08-11,2026-08-14,2026-08-14,Completed,Completed,High,Custody Operations,True,False,,Completed,2,39,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00039,CL61990,ETFs,SPDR S&P 500 ETF,SPY,4860,4860,2089012.33,2089012.33,BNY Mellon,J.P. Morgan,External,Inbound,2026-09-06,2026-09-07,2026-09-08,Completed,Completed,Low,Reconciliation,True,False,,Completed,5,13,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00040,CL11658,Funds,Global Fixed Income Fund,GIF,914,914,89603.27,86889.88,State Street,Itaú Custódia,Internal,Outbound,2026-08-12,2026-08-17,,Sent to Custodian,Exception,High,Custody Operations,True,True,Value Difference,Exception,2,38,Outside SLA,Pending,Critical,0,Matched,2713.3899999999994,Difference,Value Difference,Medium,100,SLA Breach | Value Difference | High Priority,Critical
AT00041,CL87656,Bonds,US Treasury 5Y,UST5Y,446,446,423298.17,423298.17,J.P. Morgan,Northern Trust,External,Inbound,2026-08-30,2026-09-04,2026-09-05,Completed,Completed,Medium,Reconciliation,True,False,,Completed,5,20,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00042,CL33834,Funds,Global Equity Fund,GEF,2956,2956,483630.64,483630.64,State Street,Northern Trust,External,Inbound,2026-09-03,2026-09-05,2026-09-06,Completed,Completed,Low,Custody Operations,True,False,,Completed,5,16,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00043,CL94659,Funds,Global Fixed Income Fund,GIF,191,191,7019.17,7019.17,BNY Mellon,Itaú Custódia,Internal,Outbound,2026-09-12,2026-09-17,2026-09-17,Completed,Completed,High,Reconciliation,True,False,,Completed,2,7,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00044,CL56112,Funds,Global Fixed Income Fund,GIF,2561,2561,167112.07,167112.07,J.P. Morgan,State Street,External,Inbound,2026-09-04,2026-09-06,2026-09-07,Completed,Completed,High,Reconciliation,True,False,,Completed,5,15,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00045,CL23176,ETFs,Invesco QQQ,QQQ,1873,1873,465411.63,465411.63,State Street,J.P. Morgan,Internal,Outbound,2026-08-03,2026-08-04,2026-08-04,Completed,Completed,Medium,Transfers,True,False,,Completed,2,47,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00046,CL11607,Bonds,US Treasury 5Y,UST5Y,255,255,251963.91,251963.91,BNY Mellon,J.P. Morgan,External,Outbound,2026-08-08,2026-08-09,2026-08-09,Completed,Completed,High,Transfers,True,False,,Completed,5,42,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00047,CL29887,ETFs,iShares MSCI Brazil ETF,EWZ,2499,2499,242026.9,242026.9,BNY Mellon,J.P. Morgan,External,Inbound,2026-09-03,2026-09-07,2026-09-08,Completed,Completed,High,Custody Operations,True,False,,Completed,5,16,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00048,CL50026,Equities,Alphabet Inc.,GOOGL,822,822,391613.62,391613.62,BNY Mellon,State Street,External,Inbound,2026-08-11,2026-08-13,2026-08-13,Completed,Completed,Medium,Custody Operations,True,False,,Completed,5,39,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00049,CL87832,Funds,Global Fixed Income Fund,GIF,317,317,19548.03,19548.03,State Street,Itaú Custódia,Internal,Inbound,2026-08-17,2026-08-22,2026-08-22,Completed,Completed,High,Settlement,True,False,,Completed,2,33,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00050,CL94886,ETFs,Invesco QQQ,QQQ,1175,1175,104898.61,104898.61,BNY Mellon,Northern Trust,External,Outbound,2026-08-08,2026-08-12,2026-08-13,Completed,Completed,High,Custody Operations,True,False,,Completed,5,42,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00051,CL67377,Equities,Alphabet Inc.,GOOGL,336,336,151280.74,151280.74,State Street,Northern Trust,Internal,Inbound,2026-08-15,2026-08-20,2026-08-20,Completed,Completed,High,Reconciliation,True,False,,Completed,2,35,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00052,CL85529,Equities,Microsoft Corp.,MSFT,3864,3864,1095574.33,1095574.33,Northern Trust,State Street,Internal,Outbound,2026-09-10,2026-09-14,,Settlement,Exception,High,Transfers,True,True,Custodian Rejection,Exception,2,9,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Custodian Rejection | High Priority,Critical
AT00053,CL31079,Bonds,US Treasury 5Y,UST5Y,365,365,364669.24,364669.24,Northern Trust,J.P. Morgan,External,Inbound,2026-08-21,2026-08-24,2026-08-25,Completed,Completed,Low,Custody Operations,True,False,,Completed,5,29,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00054,CL64165,Equities,Microsoft Corp.,MSFT,4257,4257,905892.63,905892.63,Northern Trust,Itaú Custódia,Internal,Inbound,2026-08-18,2026-08-23,2026-08-23,Completed,Completed,High,Custody Operations,True,False,,Completed,2,32,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00055,CL25915,Equities,Alphabet Inc.,GOOGL,1970,1970,727722.47,727722.47,State Street,J.P. Morgan,External,Inbound,2026-08-15,2026-08-16,2026-08-16,Completed,Completed,Low,Custody Operations,True,False,,Completed,5,35,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00056,CL48254,Bonds,US Treasury 5Y,UST5Y,437,437,435470.46,435470.46,Northern Trust,BNY Mellon,External,Inbound,2026-08-25,2026-08-27,,Reconciliation,Exception,High,Reconciliation,True,True,Account Mismatch,Exception,5,25,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Account Mismatch | High Priority,Critical
AT00057,CL64387,Bonds,Brazilian Government Bond,BRGOV,146,146,155360.04,155360.04,State Street,Northern Trust,External,Inbound,2026-08-29,2026-09-03,2026-09-03,Completed,Completed,High,Custody Operations,True,False,,Completed,5,21,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00058,CL69682,Bonds,US Treasury 10Y,UST10Y,367,367,347828.33,347828.33,Northern Trust,BNY Mellon,External,Inbound,2026-08-21,2026-08-25,,Reconciliation,In Progress,High,Settlement,True,False,,Pending Reconciliation,5,29,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,45,SLA Breach | High Priority,High
AT00059,CL74923,Equities,Microsoft Corp.,MSFT,4124,4124,1997703.19,1997703.19,State Street,J.P. Morgan,External,Inbound,2026-09-03,2026-09-07,2026-09-07,Completed,Completed,High,Settlement,True,False,,Completed,5,16,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00060,CL19807,Funds,Global Fixed Income Fund,GIF,2823,2823,373163.03,373163.03,Northern Trust,J.P. Morgan,External,Outbound,2026-08-21,2026-08-25,,Validation,In Progress,Low,Reconciliation,True,False,,Pending Approval,5,29,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00061,CL39817,Equities,NVIDIA Corp.,NVDA,816,816,320007.75,320007.75,J.P. Morgan,Itaú Custódia,Internal,Outbound,2026-08-02,2026-08-03,2026-08-03,Completed,Completed,Medium,Custody Operations,True,False,,Completed,2,48,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00062,CL29080,ETFs,iShares MSCI Brazil ETF,EWZ,3385,3385,1222866.57,1222866.57,BNY Mellon,State Street,Internal,Inbound,2026-09-09,2026-09-13,2026-09-13,Completed,Completed,High,Settlement,True,False,,Completed,2,10,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00063,CL40433,Funds,Emerging Markets Fund,EMF,2130,2085,218799.33,218799.33,J.P. Morgan,Itaú Custódia,External,Inbound,2026-08-05,2026-08-09,,Reconciliation,Exception,High,Custody Operations,True,True,Quantity Difference,Exception,5,45,Outside SLA,Pending,Critical,45,Difference,0.0,Matched,Quantity Difference,High,100,SLA Breach | Quantity Difference | High Priority,Critical
AT00064,CL49599,ETFs,Invesco QQQ,QQQ,3968,3968,431160.09,431160.09,Northern Trust,State Street,External,Outbound,2026-08-02,2026-08-06,2026-08-06,Completed,Completed,High,Custody Operations,True,False,,Completed,5,48,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00065,CL47512,ETFs,iShares MSCI Brazil ETF,EWZ,2896,2896,493630.43,493630.43,BNY Mellon,Northern Trust,Internal,Inbound,2026-09-10,2026-09-11,2026-09-12,Completed,Exception,High,Settlement,False,True,Missing Documentation,Exception,2,9,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Missing Documentation | High Priority,Critical
AT00066,CL21813,Bonds,US Treasury 5Y,UST5Y,392,392,385375.44,385375.44,BNY Mellon,State Street,External,Outbound,2026-08-11,2026-08-14,,Settlement,Exception,Medium,Reconciliation,True,True,Custodian Rejection,Exception,5,39,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,55,SLA Breach | Custodian Rejection,High
AT00067,CL25095,Funds,Global Equity Fund,GEF,1203,1203,187363.96,187363.96,BNY Mellon,Itaú Custódia,External,Inbound,2026-08-26,2026-08-27,2026-08-27,Completed,Completed,High,Reconciliation,True,False,,Completed,5,24,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00068,CL86619,Funds,Emerging Markets Fund,EMF,3093,3093,122180.61,122180.61,BNY Mellon,Itaú Custódia,Internal,Outbound,2026-09-09,2026-09-11,2026-09-12,Completed,Completed,Medium,Custody Operations,True,False,,Completed,2,10,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00069,CL25292,ETFs,SPDR S&P 500 ETF,SPY,314,314,68263.76,68263.76,Northern Trust,J.P. Morgan,Internal,Inbound,2026-09-04,2026-09-06,2026-09-06,Completed,Completed,High,Custody Operations,True,False,,Completed,2,15,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00070,CL86983,ETFs,Invesco QQQ,QQQ,821,821,417504.11,417504.11,Itaú Custódia,Northern Trust,External,Inbound,2026-09-14,2026-09-17,2026-09-18,Completed,Completed,Medium,Transfers,True,False,,Completed,5,5,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00071,CL99873,Bonds,Brazilian Government Bond,BRGOV,471,471,516012.77,516012.77,State Street,J.P. Morgan,External,Outbound,2026-08-13,2026-08-14,,Settlement,Exception,Medium,Transfers,True,True,Account Mismatch,Exception,5,37,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,55,SLA Breach | Account Mismatch,High
AT00072,CL16629,Bonds,US Treasury 10Y,UST10Y,74,74,78247.28,78247.28,BNY Mellon,J.P. Morgan,Internal,Inbound,2026-08-15,2026-08-18,,Reconciliation,In Progress,Low,Reconciliation,True,False,,Pending Reconciliation,2,35,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00073,CL28964,ETFs,iShares MSCI Brazil ETF,EWZ,2063,2063,1009183.71,1009183.71,J.P. Morgan,BNY Mellon,Internal,Inbound,2026-08-23,2026-08-25,2026-08-25,Completed,Completed,Low,Settlement,True,False,,Completed,2,27,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00074,CL65176,Equities,Apple Inc.,AAPL,3911,3911,984491.96,984491.96,State Street,J.P. Morgan,External,Inbound,2026-09-09,2026-09-10,,Reconciliation,In Progress,Medium,Custody Operations,True,False,,Pending Reconciliation,5,10,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00075,CL94323,Equities,Apple Inc.,AAPL,3933,3933,1696241.33,1696241.33,Northern Trust,J.P. Morgan,External,Outbound,2026-08-05,2026-08-06,2026-08-06,Completed,Exception,High,Reconciliation,False,True,Missing Documentation,Exception,5,45,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,70,SLA Breach | Missing Documentation | High Priority,Critical
AT00076,CL59925,Bonds,US Treasury 5Y,UST5Y,268,268,273650.88,273650.88,J.P. Morgan,BNY Mellon,Internal,Outbound,2026-08-29,2026-08-31,2026-09-01,Completed,Completed,High,Transfers,True,False,,Completed,2,21,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00077,CL50966,Funds,Global Fixed Income Fund,GIF,2138,2138,186806.01,186806.01,BNY Mellon,Itaú Custódia,Internal,Inbound,2026-08-06,2026-08-07,2026-08-07,Completed,Completed,High,Transfers,True,False,,Completed,2,44,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00078,CL86869,Bonds,Brazilian Government Bond,BRGOV,72,72,70715.64,70715.64,Northern Trust,J.P. Morgan,External,Outbound,2026-08-23,2026-08-24,2026-08-24,Completed,Completed,Medium,Settlement,True,False,,Completed,5,27,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00079,CL24184,Bonds,Brazilian Government Bond,BRGOV,198,198,182749.46,182749.46,State Street,BNY Mellon,External,Inbound,2026-09-08,2026-09-11,2026-09-11,Completed,Completed,Medium,Reconciliation,True,False,,Completed,5,11,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00080,CL56009,Equities,Microsoft Corp.,MSFT,1183,1183,360631.03,360631.03,Northern Trust,J.P. Morgan,Internal,Inbound,2026-08-06,2026-08-11,2026-08-12,Completed,Completed,Low,Reconciliation,True,False,,Completed,2,44,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00081,CL50846,Bonds,Brazilian Government Bond,BRGOV,315,315,288852.29,288852.29,J.P. Morgan,State Street,Internal,Inbound,2026-09-13,2026-09-14,2026-09-15,Completed,Completed,Medium,Custody Operations,True,False,,Completed,2,6,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
